人民币	人民币 ￥
卫生纸	卫生纸 🧻
卷纸	卷纸 🧻
纸巾	纸巾 🧻
水桶	水桶 🪣
圆桶	圆桶 🪣
肥皂	肥皂 🧼
香皂	香皂 🧼
泡泡	泡泡 🫧
气泡	气泡 🫧
牙刷	牙刷 🪥
刷牙	刷牙 🪥
海绵	海绵 🧽
清洗	清洗 🧽
灭火器	灭火器 🧯
购物车	购物车 🛒
手推车	手推车 🛒
烟	烟 🚬
香烟	香烟 🚬
卷烟	卷烟 🚬
纸烟	纸烟 🚬
吸烟	吸烟 🚬
抽烟	抽烟 🚬
烤烟	烤烟 🚬
点烟	点烟 🚬
来一根	来一根 🚬
来一根儿	来一根儿 🚬
一支烟	一支烟 🚬
棺材	棺材 ⚰️
灵柩	灵柩 ⚰️
墓碑	墓碑 🪦
坟墓	坟墓 🪦
骨灰盒	骨灰盒 ⚱️
骨灰缸	骨灰缸 ⚱️
奉金瓮	奉金瓮 ⚱️
黄金瓮	黄金瓮 ⚱️
金瓮	金瓮 ⚱️
金塔	金塔 ⚱️
骨瓮	骨瓮 ⚱️
骨坛	骨坛 ⚱️
恶魔之眼	恶魔之眼 🧿
恶魔眼	恶魔眼 🧿
恶魔的眼	恶魔的眼 🧿
法蒂玛	法蒂玛 🪬
法蒂玛之手	法蒂玛之手 🪬
复活岛	复活岛 🗿
复活节岛	复活节岛 🗿
复活节岛石像	复活节岛石像 🗿
摩艾石像	摩艾石像 🗿
标语	标语 🪧
布告	布告 🪧
布告牌	布告牌 🪧
标语牌	标语牌 🪧
身份证	身份证 🪪 🆔
ID	ID 🪪 🆔
驾照	驾照 🪪
执照	执照 🪪
证件	证件 🪪
证照	证照 🪪
ATM	ATM 🏧
取款机	取款机 🏧
提款机	提款机 🏧
垃圾入篓标志	垃圾入篓标志 🚮
垃圾入篓	垃圾入篓 🚮
垃圾丢弃处	垃圾丢弃处 🚮
丢垃圾	丢垃圾 🚮
扔垃圾	扔垃圾 🚮
倒垃圾	倒垃圾 🚮
水龙头	水龙头 🚰
饮用水	饮用水 🚰
直饮水	直饮水 🚰
饮水处	饮水处 🚰
轮椅标志	轮椅标志 ♿
男士标志	男士标志 🚹
男士符号	男士符号 🚹
男士	男士 🚹
男厕	男厕 🚹
男厕所	男厕所 🚹
男洗手间	男洗手间 🚹
女士标志	女士标志 🚺
女士符号	女士符号 🚺
女士	女士 🚺
女厕	女厕 🚺
女厕所	女厕所 🚺
女洗手间	女洗手间 🚺
卫生间	卫生间 🚻 🚾
厕所	厕所 🚻 🚾
洗手间	洗手间 🚻
盥洗室	盥洗室 🚻
婴儿符号	婴儿符号 🚼
婴儿标志	婴儿标志 🚼
WC	WC 🚾
护照检查处	护照检查处 🛂
安检	安检 🛂
护照检查	护照检查 🛂
检查护照	检查护照 🛂
海关	海关 🛃
海关检查	海关检查 🛃
行李领取处	行李领取处 🛄
行李领取	行李领取 🛄
领取行李	领取行李 🛄
行李寄存处	行李寄存处 🛅
行李寄存	行李寄存 🛅
寄存行李	寄存行李 🛅
警告	警告 ⚠️
注意	注意 ⚠️
危险	危险 ⚠️
预警	预警 ⚠️
学童过街	学童过街 🚸
儿童过街	儿童过街 🚸
注意儿童	注意儿童 🚸
当心儿童	当心儿童 🚸
禁止驶入	禁止驶入 ⛔
禁止通行	禁止通行 ⛔
请勿入内	请勿入内 ⛔
请勿驶入	请勿驶入 ⛔
禁止	禁止 🚫 🈲
严禁	严禁 🚫 🈲
不准	不准 🚫
不许	不许 🚫
禁止骑车	禁止骑车 🚳
禁止骑行	禁止骑行 🚳
禁止自行车	禁止自行车 🚳
禁止吸烟	禁止吸烟 🚭
请勿吸烟	请勿吸烟 🚭
禁烟	禁烟 🚭
勿扔垃圾	勿扔垃圾 🚯
勿丢垃圾	勿丢垃圾 🚯
请勿乱丢垃圾	请勿乱丢垃圾 🚯
请勿乱扔垃圾	请勿乱扔垃圾 🚯
禁丢垃圾	禁丢垃圾 🚯
禁止扔垃圾	禁止扔垃圾 🚯
禁止丢垃圾	禁止丢垃圾 🚯
禁止乱扔垃圾	禁止乱扔垃圾 🚯
禁止乱丢垃圾	禁止乱丢垃圾 🚯
非饮用水	非饮用水 🚱
请勿饮用	请勿饮用 🚱
禁止行人	禁止行人 🚷
禁止行人通行	禁止行人通行 🚷
禁止使用手机	禁止使用手机 📵
禁止打电话	禁止打电话 📵
十八禁	十八禁 🔞
未成年	未成年 🔞
未成年不宜	未成年不宜 🔞
成人	成人 🔞
放射性	放射性 ☢️
辐射	辐射 ☢️
生物危害	生物危害 ☣️
生化危机	生化危机 ☣️
瘟疫公司	瘟疫公司 ☣️
上	上 ⬆️ ↑
上箭头	上箭头 ⬆️ ↑
向上箭头	向上箭头 ⬆️
右上	右上 ↗️ ↗
右上箭头	右上箭头 ↗️ ↗
右	右 ➡️ →
右箭头	右箭头 ➡️ →
向右箭头	向右箭头 ➡️
右下	右下 ↘️ ↘
右下箭头	右下箭头 ↘️ ↘
下	下 ⬇️ ↓
下箭头	下箭头 ⬇️ ↓
向下箭头	向下箭头 ⬇️
左下	左下 ↙️ ↙
左下箭头	左下箭头 ↙️ ↙
左	左 ⬅️ ←
左箭头	左箭头 ⬅️ ←
向左箭头	向左箭头 ⬅️
左上	左上 ↖️ ↖
左上箭头	左上箭头 ↖️ ↖
上下	上下 ↕️ ↕
上下箭头	上下箭头 ↕️ ↕
左右	左右 ↔️ ↔︎
左右箭头	左右箭头 ↔️ ↔︎
回车	回车 ↩️
重新载入	重新载入 🔃
顺时针	顺时针 🔃
顺时针方向	顺时针方向 🔃
顺时针垂直箭头	顺时针垂直箭头 🔃
逆时针	逆时针 🔄
逆时针方向	逆时针方向 🔄
逆时针垂直箭头	逆时针垂直箭头 🔄
back	back 🔙
退回	退回 🔙
end	end 🔚
结束	结束 🔚
on	on 🔛
开启	开启 🔛
soon	soon 🔜
马上	马上 🔜
top	top 🔝
祷告	祷告 🛐
原子符号	原子符号 ⚛️
原子	原子 ⚛️
atom	atom ⚛️
奥姆	奥姆 🕉
奥姆符号	奥姆符号 🕉
大卫之星	大卫之星 ✡️
法轮	法轮 ☸️
太极	太极 ☯️
阴阳	阴阳 ☯️
十字架	十字架 ✝️
基督	基督 ✝️
基督教	基督教 ✝️
东正教	东正教 ☦️
东正教十字架	东正教十字架 ☦️
星月	星月 ☪️
和平	和平 ☮️
和平符号	和平符号 ☮️
和平标志	和平标志 ☮️
世界和平	世界和平 ☮️
peace	peace ☮️
光明节	光明节 🕎
六角星	六角星 🔯
六芒星	六芒星 🔯
魔法阵	魔法阵 🔯
锡克	锡克 🪯
锡克教	锡克教 🪯
坎达	坎达 🪯
坎达符号	坎达符号 🪯
白羊座	白羊座 ♈
金牛座	金牛座 ♉
双子座	双子座 ♊
巨蟹座	巨蟹座 ♋
狮子座	狮子座 ♌
处女座	处女座 ♍
天秤座	天秤座 ♎
天蝎座	天蝎座 ♏
射手座	射手座 ♐
摩羯座	摩羯座 ♑
水瓶座	水瓶座 ♒
双鱼座	双鱼座 ♓
蛇夫座	蛇夫座 ⛎
随机播放	随机播放 🔀
随机	随机 🔀
交叉箭头	交叉箭头 🔀
循环播放	循环播放 🔁
单曲循环	单曲循环 🔂
播放	播放 ▶️
开始	开始 ▶️
开始播放	开始播放 ▶️
快进	快进 ⏩
快进符号	快进符号 ⏩
下一首	下一首 ⏭️
播放暂停	播放暂停 ⏯️
倒退	倒退 ◀️
倒退按钮	倒退按钮 ◀️
快退	快退 ⏪
快退符号	快退符号 ⏪
上一首	上一首 ⏮️
上三角	上三角 🔼
调高	调高 🔼
快上	快上 ⏫
下三角	下三角 🔽
调低	调低 🔽
快下	快下 ⏬
暂停	暂停 ⏸️
停止	停止 ⏹️
录音	录音 ⏺️
录音按钮	录音按钮 ⏺️
开始录音	开始录音 ⏺️
录像	录像 ⏺️
录像按钮	录像按钮 ⏺️
开始录像	开始录像 ⏺️
弹出	弹出 ⏏️
推出	推出 ⏏️
弹出按钮	弹出按钮 ⏏️
推出按钮	推出按钮 ⏏️
电影院	电影院 🎦
亮度	亮度 🔅 🔆
亮度低	亮度低 🔅
低亮度	低亮度 🔅
亮度高	亮度高 🔆
高亮度	高亮度 🔆
信号强度条	信号强度条 📶
信号强度	信号强度 📶
信号	信号 📶
手机信号	手机信号 📶
wireless	wireless 🛜
WiFi	WiFi 🛜
Wi-Fi	Wi-Fi 🛜
无线局域网	无线局域网 🛜
无线网	无线网 🛜
无线网络	无线网络 🛜
网络	网络 🛜
震动	震动 📳
振动模式	振动模式 📳
关机	关机 📴
手机关机	手机关机 📴
关闭手机	关闭手机 📴
女	女 ♀
女性	女性 ♀
男	男 ♂
男性	男性 ♂
跨性别	跨性别 ⚧ 🏳️‍⚧️
跨性别符号	跨性别符号 ⚧
变性	变性 ⚧
乘	乘 ✖️
乘以	乘以 ✖️
乘号	乘号 ✖️
加	加 ➕
加号	加号 ➕
减	减 ➖
减号	减号 ➖
除	除 ➗
除以	除以 ➗
除号	除号 ➗
等于	等于 🟰
等号	等号 🟰
等于号	等于号 🟰
粗等号	粗等号 🟰
双感叹号	双感叹号 ‼️
双惊叹号	双惊叹号 ‼️
双叹号	双叹号 ‼️
俩叹号	俩叹号 ‼️
疑问惊叹号	疑问惊叹号 ⁉️
疑问惊叹	疑问惊叹 ⁉️
叹问号	叹问号 ⁉️
叹号问号	叹号问号 ⁉️
感叹号问号	感叹号问号 ⁉️
惊问	惊问 ⁉️
问号	问号 ❓ ❔
白色问号	白色问号 ❔
白问号	白问号 ❔
感叹号	感叹号 ❗ ❕
惊叹号	惊叹号 ❗ ❕
叹号	叹号 ❗ ❕
白色感叹号	白色感叹号 ❕
白色惊叹号	白色惊叹号 ❕
白色叹号	白色叹号 ❕
白感叹号	白感叹号 ❕
白惊叹号	白惊叹号 ❕
白叹号	白叹号 ❕
波浪型破折号	波浪型破折号 〰️
波浪线	波浪线 〰️
兑换	兑换 💱
外汇	外汇 💱
换汇	换汇 💱
汇率	汇率 💱
流通	流通 💱
货币兑换	货币兑换 💱
出国	出国 💱
粗美元符号	粗美元符号 💲
货币	货币 💲
价钱	价钱 💲
医疗标志	医疗标志 ⚕
医疗符号	医疗符号 ⚕
蛇杖	蛇杖 ⚕
阿斯克勒庇俄斯	阿斯克勒庇俄斯 ⚕
单蛇之杖	单蛇之杖 ⚕
环保	环保 ♻️
循环	循环 ♻️
循环再生	循环再生 ♻️
循环利用	循环利用 ♻️
回收	回收 ♻️
百合花饰	百合花饰 ⚜️
百合花	百合花 ⚜️
鸢尾花	鸢尾花 ⚜️
三叉戟	三叉戟 🔱
三叉戟标志	三叉戟标志 🔱
姓名牌	姓名牌 📛
日本新手驾驶标志	日本新手驾驶标志 🔰
日本初学者标志	日本初学者标志 🔰
对	对 ⭕ ✅ ✔
答对	答对 ⭕ ✅
答对了	答对了 ⭕ ✅
正确	正确 ⭕ ✅ ✔
圆圈	圆圈 ⭕
对号	对号 ✅ ✔
对钩	对钩 ✅ ✔
按钮	按钮 ☑️ 🔘
勾选	勾选 ☑️ ✔
复选	复选 ☑️
复选框	复选框 ☑️
复选按钮	复选按钮 ☑️
打钩	打钩 ☑️
打对钩	打对钩 ☑️
错	错 ❌ ❎
答错	答错 ❌ ❎
答错了	答错了 ❌ ❎
错号	错号 ❌ ❎
错误	错误 ❌ ❎
叉	叉 ❌ ❎
叉叉	叉叉 ❌ ❎
画叉	画叉 ❌ ❎
卷曲环	卷曲环 ➰
双卷曲环	双卷曲环 ➿
歌记号	歌记号 〽️
八轮辐星号	八轮辐星号 ✳️
八角星	八角星 ✴️
版权	版权 ©
版权符号	版权符号 ©
Copyright	Copyright ©
注册	注册 ®
注册标记	注册标记 ®
注册商标符号	注册商标符号 ®
注册商标	注册商标 ®
Registered	Registered ®
商标	商标 ™
商标符号	商标符号 ™
TM	TM ™
井号	井号 #️⃣
井号键	井号键 #️⃣
星号	星号 *️⃣
星号键	星号键 *️⃣
零	零 0️⃣
一	一 1️⃣
二	二 2️⃣
三	三 3️⃣
四	四 4️⃣
五	五 5️⃣
六	六 6️⃣
七	七 7️⃣
八	八 8️⃣
九	九 9️⃣
十	十 🔟
ABCD	ABCD 🔠
英文	英文 🔠 🔡
英语	英语 🔠 🔡
拉丁文	拉丁文 🔠 🔡
大写	大写 🔠
英文大写	英文大写 🔠
大写字母	大写字母 🔠
abcd	abcd 🔡
小写	小写 🔡
英文小写	英文小写 🔡
小写字母	小写字母 🔡
数字	数字 🔢
一二三四	一二三四 🔢
符号	符号 🔣
字符	字符 🔣
abc	abc 🔤
血型	血型 🅰️ 🆎 🅱️ 🅾️
A	A 🅰️
A型	A型 🅰️
A型血	A型血 🅰️
A血型	A血型 🅰️
AB	AB 🆎
AB型	AB型 🆎
AB型血	AB型血 🆎
AB血型	AB血型 🆎
B	B 🅱️
B型	B型 🅱️
B型血	B型血 🅱️
B血型	B血型 🅱️
O	O 🅾️
O型	O型 🅾️
O型血	O型血 🅾️
O血型	O血型 🅾️
清除	清除 🆑
清理	清理 🆑
clear	clear 🆑
cool	cool 🆒
酷	酷 🆒
超酷	超酷 🆒
很酷	很酷 🆒
特别酷	特别酷 🆒
free	free 🆓
免费	免费 🆓
自由	自由 🆓
资讯	资讯 ℹ️
info	info ℹ️
information	information ℹ️
身份	身份 🆔
new	new 🆕
新	新 🆕
新的	新的 🆕
新建	新建 🆕
全新	全新 🆕
NG	NG 🆖
重拍	重拍 🆖
停车	停车 🅿️
停车场	停车场 🅿️
停车按钮	停车按钮 🅿️
泊车	泊车 🅿️
parking	parking 🅿️
SOS	SOS 🆘
求救信号	求救信号 🆘
求救讯号	求救讯号 🆘
救命	救命 🆘
救我	救我 🆘
救救我	救救我 🆘
求救	求救 🆘
up	up 🆙
顶	顶 🆙
升级	升级 🆙
Vs.	Vs. 🆚
比	比 🆚
对决	对决 🆚
对抗	对抗 🆚
对战	对战 🆚
比赛	比赛 🆚
这里	这里 🈁
服务费	服务费 🈂️
月	月 🈷️
有	有 🈶
有料	有料 🈶
收费	收费 🈶
指	指 🈯
得	得 🉐
讨价还价	讨价还价 🉐
割	割 🈹
打折	打折 🈹
无	无 🈚️
没有	没有 🈚️
禁	禁 🈲
可	可 🉑
申	申 🈸
申请	申请 🈸
合	合 🈴
合格	合格 🈴
空	空 🈳
空位	空位 🈳
祝	祝 ㊗️
祝福	祝福 ㊗️
秘	秘 ㊙️
营	营 🈺
营业	营业 🈺
开门营业	开门营业 🈺
满	满 🈵
满座	满座 🈵
满了	满了 🈵
没有空位	没有空位 🈵
红色	红色 🔴 🟥
橙色	橙色 🟠 🟧
橘色	橘色 🟠 🟧
橘黄色	橘黄色 🟠 🟧
黄色	黄色 🟡 🟨
绿色	绿色 🟢 🟩
蓝色	蓝色 🔵 🟦
紫色	紫色 🟣 🟪
棕色	棕色 🟤 🟫
圆形	圆形 ⚫ ⚪
围棋	围棋 ⚫ ⚪
黑白棋	黑白棋 ⚫ ⚪
黑色	黑色 ⚫ ⬛
黑子	黑子 ⚫
黑棋	黑棋 ⚫
黑点	黑点 ⚫
小黑点	小黑点 ⚫
小黑点儿	小黑点儿 ⚫
白色	白色 ⚪ ⬜
白子	白子 ⚪
白棋	白棋 ⚪
白点	白点 ⚪
小白点	小白点 ⚪
小白点儿	小白点儿 ⚪
元宵	元宵 ⚪
汤圆	汤圆 ⚪
雪球	雪球 ⚪
小圆点	小圆点 ⚪
小圆点儿	小圆点儿 ⚪
正方形	正方形 ⬛ ⬜
方块	方块 ⬛ ⬜
方形	方形 ⬛ ⬜
矩形	矩形 ⬛ ⬜
黑框	黑框 ⬛
小黑框	小黑框 ⬛
白框	白框 ⬜
小白框	小白框 ⬜
中方块	中方块 ◼ ◻
中正方形	中正方形 ◼ ◻
白色中方块	白色中方块 ◼
中等方块	中等方块 ◼ ◻
中等正方形	中等正方形 ◼ ◻
白色中等方块	白色中等方块 ◼
黑色中方块	黑色中方块 ◻
黑色中等方块	黑色中等方块 ◻
大方块	大方块 ◾ ◽
大正方形	大正方形 ◾ ◽
白色大方块	白色大方块 ◾
黑色大方块	黑色大方块 ◽
小方块	小方块 ▪ ▫
小正方形	小正方形 ▪ ▫
白色小方块	白色小方块 ▪
黑色小方块	黑色小方块 ▫
菱形	菱形 🔶 🔷
大菱形	大菱形 🔶 🔷
橙色菱形	橙色菱形 🔶
橘色菱形	橘色菱形 🔶
橘黄色菱形	橘黄色菱形 🔶
橙色大菱形	橙色大菱形 🔶
橘色大菱形	橘色大菱形 🔶
橘黄色大菱形	橘黄色大菱形 🔶
蓝色菱形	蓝色菱形 🔷
蓝色大菱形	蓝色大菱形 🔷
小方片	小方片 🔸 🔹
小菱形	小菱形 🔸 🔹
橙色小菱形	橙色小菱形 🔸
橘色小菱形	橘色小菱形 🔸
橘黄色小菱形	橘黄色小菱形 🔸
蓝色小菱形	蓝色小菱形 🔹
三角	三角 🔺 🔻
三角形	三角形 🔺 🔻
正三角	正三角 🔺
红色正三角	红色正三角 🔺
倒三角	倒三角 🔻
红色倒三角	红色倒三角 🔻
单选	单选 🔘
单选框	单选框 🔘
单选按钮	单选按钮 🔘
方形按钮	方形按钮 🔳 🔲
白线方形按钮	白线方形按钮 🔳
白线正方形按钮	白线正方形按钮 🔳
白色方形按钮	白色方形按钮 🔳
白色正方形按钮	白色正方形按钮 🔳
白边线方形按钮	白边线方形按钮 🔳
白边线正方形按钮	白边线正方形按钮 🔳
黑线方形按钮	黑线方形按钮 🔲
黑线正方形按钮	黑线正方形按钮 🔲
黑色方形按钮	黑色方形按钮 🔲
黑色正方形按钮	黑色正方形按钮 🔲
黑边线方形按钮	黑边线方形按钮 🔲
黑边线正方形按钮	黑边线正方形按钮 🔲
格子旗	格子旗 🏁
终点旗	终点旗 🏁
终点	终点 🏁
旗帜	旗帜 🚩
旗子	旗子 🚩
三角旗	三角旗 🚩
旗杆上的三角旗	旗杆上的三角旗 🚩
旗杆上的旗帜	旗杆上的旗帜 🚩
红色旗帜	红色旗帜 🚩
交叉旗	交叉旗 🎌
举黑旗	举黑旗 🏴
黑旗	黑旗 🏴
黑色旗	黑色旗 🏴
黑色旗子	黑色旗子 🏴
黑色旗帜	黑色旗帜 🏴
举白旗	举白旗 🏳
白旗	白旗 🏳
白色旗子	白色旗子 🏳
白色旗帜	白色旗帜 🏳
认输	认输 🏳
认输了	认输了 🏳
投降	投降 🏳
同性旗	同性旗 🏳️‍🌈
彩虹旗	彩虹旗 🏳️‍🌈
跨性别旗	跨性别旗 🏳️‍⚧️
海盗	海盗 🏴‍☠️
海盗旗	海盗旗 🏴‍☠️
海贼	海贼 🏴‍☠️
海贼旗	海贼旗 🏴‍☠️
阿森松岛	阿森松岛 🇦🇨
阿森松	阿森松 🇦🇨
安道尔	安道尔 🇦🇩
安道尔公国	安道尔公国 🇦🇩
阿拉伯联合酋长国	阿拉伯联合酋长国 🇦🇪
阿拉伯	阿拉伯 🇦🇪
阿富汗	阿富汗 🇦🇫
安提瓜和巴布达	安提瓜和巴布达 🇦🇬
安巴	安巴 🇦🇬
安圭拉	安圭拉 🇦🇮
阿尔巴尼亚	阿尔巴尼亚 🇦🇱
阿尔巴尼亚共和国	阿尔巴尼亚共和国 🇦🇱
亚美尼亚	亚美尼亚 🇦🇲
亚美尼亚共和国	亚美尼亚共和国 🇦🇲
安哥拉	安哥拉 🇦🇴
安哥拉共和国	安哥拉共和国 🇦🇴
南极洲	南极洲 🇦🇶
阿根廷	阿根廷 🇦🇷
阿根廷共和国	阿根廷共和国 🇦🇷
美属萨摩亚	美属萨摩亚 🇦🇸
东萨摩亚	东萨摩亚 🇦🇸
奥地利	奥地利 🇦🇹
奥地利共和国	奥地利共和国 🇦🇹
澳大利亚	澳大利亚 🇦🇺
澳大利亚联邦	澳大利亚联邦 🇦🇺
阿鲁巴	阿鲁巴 🇦🇼
奥兰	奥兰 🇦🇽
奥兰群岛	奥兰群岛 🇦🇽
阿赫韦南马	阿赫韦南马 🇦🇽
阿塞拜疆	阿塞拜疆 🇦🇿
阿塞拜疆共和国	阿塞拜疆共和国 🇦🇿
波斯尼亚和黑塞哥维那	波斯尼亚和黑塞哥维那 🇧🇦
波黑	波黑 🇧🇦
巴巴多斯	巴巴多斯 🇧🇧
孟加拉国	孟加拉国 🇧🇩
孟加拉	孟加拉 🇧🇩
比利时	比利时 🇧🇪
比利时王国	比利时王国 🇧🇪
布基纳法索	布基纳法索 🇧🇫
保加利亚	保加利亚 🇧🇬
保加利亚共和国	保加利亚共和国 🇧🇬
巴林	巴林 🇧🇭
巴林王国	巴林王国 🇧🇭
布隆迪	布隆迪 🇧🇮
布隆迪共和国	布隆迪共和国 🇧🇮
贝宁	贝宁 🇧🇯
贝宁共和国	贝宁共和国 🇧🇯
圣巴泰勒米	圣巴泰勒米 🇧🇱
百慕大	百慕大 🇧🇲
文莱	文莱 🇧🇳
文莱达鲁萨兰国	文莱达鲁萨兰国 🇧🇳
玻利维亚	玻利维亚 🇧🇴
玻利维亚国	玻利维亚国 🇧🇴
多民族玻利维亚国	多民族玻利维亚国 🇧🇴
荷属加勒比区	荷属加勒比区 🇧🇶
巴西	巴西 🇧🇷
巴西联邦	巴西联邦 🇧🇷
巴西联邦共和国	巴西联邦共和国 🇧🇷
巴哈马	巴哈马 🇧🇸
巴哈马国	巴哈马国 🇧🇸
不丹	不丹 🇧🇹
不丹王国	不丹王国 🇧🇹
布韦岛	布韦岛 🇧🇻
博茨瓦纳	博茨瓦纳 🇧🇼
博茨瓦纳共和国	博茨瓦纳共和国 🇧🇼
白俄罗斯	白俄罗斯 🇧🇾
白俄	白俄 🇧🇾
伯利兹	伯利兹 🇧🇿
加拿大	加拿大 🇨🇦
科科斯（基林）群岛	科科斯（基林）群岛 🇨🇨
科科斯	科科斯 🇨🇨
刚果（金）	刚果（金） 🇨🇩
刚果	刚果 🇨🇩 🇨🇬
刚果金	刚果金 🇨🇩
中非共和国	中非共和国 🇨🇫
中非	中非 🇨🇫
刚果（布）	刚果（布） 🇨🇬
刚果布	刚果布 🇨🇬
瑞士	瑞士 🇨🇭
瑞士联邦	瑞士联邦 🇨🇭
科特迪瓦	科特迪瓦 🇨🇮
科特迪瓦共和国	科特迪瓦共和国 🇨🇮
库克群岛	库克群岛 🇨🇰
智利	智利 🇨🇱
智利共和国	智利共和国 🇨🇱
喀麦隆	喀麦隆 🇨🇲
喀麦隆共和国	喀麦隆共和国 🇨🇲
中国	中国 🇨🇳
中华人民共和国	中华人民共和国 🇨🇳
五星红旗	五星红旗 🇨🇳
红旗	红旗 🇨🇳
哥伦比亚	哥伦比亚 🇨🇴
哥伦比亚共和国	哥伦比亚共和国 🇨🇴
克利珀顿岛	克利珀顿岛 🇨🇵
哥斯达黎加	哥斯达黎加 🇨🇷
哥斯达黎加共和国	哥斯达黎加共和国 🇨🇷
古巴	古巴 🇨🇺
古巴共和国	古巴共和国 🇨🇺
佛得角	佛得角 🇨🇻
佛得角共和国	佛得角共和国 🇨🇻
库拉索	库拉索 🇨🇼
圣诞岛	圣诞岛 🇨🇽
塞浦路斯	塞浦路斯 🇨🇾
塞浦路斯共和国	塞浦路斯共和国 🇨🇾
捷克	捷克 🇨🇿
捷克共和国	捷克共和国 🇨🇿
德国	德国 🇩🇪
德意志	德意志 🇩🇪
德意志联邦共和国	德意志联邦共和国 🇩🇪
德意志联邦	德意志联邦 🇩🇪
迪戈加西亚岛	迪戈加西亚岛 🇩🇬
吉布提	吉布提 🇩🇯
吉布提共和国	吉布提共和国 🇩🇯
丹麦	丹麦 🇩🇰
多米尼克	多米尼克 🇩🇲
多米尼克国	多米尼克国 🇩🇲
多米尼加共和国	多米尼加共和国 🇩🇴
阿尔及利亚	阿尔及利亚 🇩🇿
阿尔及利亚民主人民共和国	阿尔及利亚民主人民共和国 🇩🇿
休达及梅利利亚	休达及梅利利亚 🇪🇦
休达和梅利利亚	休达和梅利利亚 🇪🇦
休达	休达 🇪🇦
梅利利亚	梅利利亚 🇪🇦
厄瓜多尔	厄瓜多尔 🇪🇨
厄瓜多尔共和国	厄瓜多尔共和国 🇪🇨
爱沙尼亚	爱沙尼亚 🇪🇪
爱沙尼亚共和国	爱沙尼亚共和国 🇪🇪
埃及	埃及 🇪🇬
西撒哈拉	西撒哈拉 🇪🇭
厄立特里亚	厄立特里亚 🇪🇷
厄立特里亚国	厄立特里亚国 🇪🇷
西班牙	西班牙 🇪🇸
西班牙王国	西班牙王国 🇪🇸
埃塞俄比亚	埃塞俄比亚 🇪🇹
埃塞俄比亚联邦民主共和国	埃塞俄比亚联邦民主共和国 🇪🇹
欧盟	欧盟 🇪🇺
欧洲联盟	欧洲联盟 🇪🇺
芬兰	芬兰 🇫🇮
芬兰共和国	芬兰共和国 🇫🇮
斐济	斐济 🇫🇯
斐济共和国	斐济共和国 🇫🇯
福克兰群岛	福克兰群岛 🇫🇰
马尔维纳斯群岛	马尔维纳斯群岛 🇫🇰
密克罗尼西亚	密克罗尼西亚 🇫🇲
法罗群岛	法罗群岛 🇫🇴
法国	法国 🇫🇷
法兰西	法兰西 🇫🇷
法兰西共和国	法兰西共和国 🇫🇷
加蓬	加蓬 🇬🇦
英国	英国 🇬🇧
英伦	英伦 🇬🇧
大不列颠及北爱尔兰联合王国	大不列颠及北爱尔兰联合王国 🇬🇧
格林纳达	格林纳达 🇬🇩
格鲁吉亚	格鲁吉亚 🇬🇪
法属圭亚那	法属圭亚那 🇬🇫
根西岛	根西岛 🇬🇬
加纳	加纳 🇬🇭
加纳共和国	加纳共和国 🇬🇭
直布罗陀	直布罗陀 🇬🇮
格陵兰	格陵兰 🇬🇱
冈比亚	冈比亚 🇬🇲
冈比亚共和国	冈比亚共和国 🇬🇲
几内亚	几内亚 🇬🇳
几内亚共和国	几内亚共和国 🇬🇳
瓜德罗普	瓜德罗普 🇬🇵
赤道几内亚	赤道几内亚 🇬🇶
希腊	希腊 🇬🇷
希腊共和国	希腊共和国 🇬🇷
南乔治亚和南桑威奇群岛	南乔治亚和南桑威奇群岛 🇬🇸
危地马拉	危地马拉 🇬🇹
关岛	关岛 🇬🇺
几内亚比绍	几内亚比绍 🇬🇼
几内亚比绍共和国	几内亚比绍共和国 🇬🇼
圭亚那	圭亚那 🇬🇾
圭亚那合作共和国	圭亚那合作共和国 🇬🇾
中国香港特别行政区	中国香港特别行政区 🇭🇰
中国香港	中国香港 🇭🇰
香港	香港 🇭🇰
香港特别行政区	香港特别行政区 🇭🇰
赫德岛和麦克唐纳群岛	赫德岛和麦克唐纳群岛 🇭🇲
洪都拉斯	洪都拉斯 🇭🇳
洪都拉斯共和国	洪都拉斯共和国 🇭🇳
克罗地亚	克罗地亚 🇭🇷
克罗地亚共和国	克罗地亚共和国 🇭🇷
海地	海地 🇭🇹
海地共和国	海地共和国 🇭🇹
匈牙利	匈牙利 🇭🇺
加纳利群岛	加纳利群岛 🇮🇨
印度尼西亚	印度尼西亚 🇮🇩
印度尼西亚共和国	印度尼西亚共和国 🇮🇩
爱尔兰	爱尔兰 🇮🇪
爱尔兰共和国	爱尔兰共和国 🇮🇪
以色列	以色列 🇮🇱
以色列国	以色列国 🇮🇱
马恩岛	马恩岛 🇮🇲
印度	印度 🇮🇳
印度共和国	印度共和国 🇮🇳
英属印度洋领地	英属印度洋领地 🇮🇴
伊拉克	伊拉克 🇮🇶
伊拉克共和国	伊拉克共和国 🇮🇶
伊朗	伊朗 🇮🇷
伊朗伊斯兰共和国	伊朗伊斯兰共和国 🇮🇷
冰岛	冰岛 🇮🇸
意大利	意大利 🇮🇹
意大利共和国	意大利共和国 🇮🇹
泽西岛	泽西岛 🇯🇪
泽西	泽西 🇯🇪
牙买加	牙买加 🇯🇲
约旦	约旦 🇯🇴
约旦哈希姆王国	约旦哈希姆王国 🇯🇴
